SUBJECT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
S1,0.430,0.465,0.606,0.405,0.474,0.444,0.559,0.400
S2,0.396,0.419,0.528,0.398,0.432,0.406,0.477,0.394
S3,0.393,0.413,0.516,0.397,0.427,0.402,0.465,0.393
S4,0.403,0.429,0.548,0.400,0.442,0.414,0.496,0.396
S7,0.402,0.428,0.546,0.400,0.441,0.413,0.494,0.395
S8,0.384,0.397,0.475,0.393,0.409,0.390,0.431,0.390
S9,0.408,0.436,0.560,0.401,0.448,0.420,0.508,0.396
S10,0.401,0.426,0.542,0.399,0.439,0.412,0.490,0.395
S12,0.399,0.423,0.538,0.399,0.437,0.410,0.486,0.395
S13,0.391,0.410,0.509,0.397,0.424,0.400,0.459,0.393
S14,0.410,0.439,0.566,0.402,0.452,0.423,0.515,0.397
S15,0.407,0.434,0.558,0.401,0.447,0.419,0.506,0.396
S16,0.399,0.422,0.535,0.399,0.436,0.409,0.483,0.395
S17,0.394,0.414,0.518,0.397,0.428,0.403,0.467,0.394
S18,0.410,0.439,0.566,0.402,0.451,0.422,0.514,0.397
S19,0.422,0.455,0.591,0.404,0.465,0.435,0.541,0.399
S20,0.398,0.422,0.535,0.399,0.436,0.409,0.483,0.395
S21,0.410,0.438,0.565,0.402,0.451,0.422,0.513,0.397
S22,0.414,0.444,0.574,0.402,0.456,0.426,0.523,0.397
S23,0.413,0.442,0.571,0.402,0.454,0.425,0.520,0.397
S25,0.389,0.406,0.500,0.396,0.420,0.397,0.451,0.392
S26,0.427,0.461,0.600,0.405,0.471,0.440,0.551,0.399
S28,0.389,0.407,0.501,0.396,0.420,0.397,0.452,0.392
S29,0.399,0.423,0.536,0.399,0.436,0.409,0.484,0.395
S30,0.395,0.416,0.522,0.398,0.430,0.404,0.471,0.394
S31,0.400,0.425,0.540,0.399,0.438,0.411,0.488,0.395
S32,0.393,0.413,0.515,0.397,0.426,0.402,0.465,0.393
S33,0.396,0.418,0.526,0.398,0.431,0.405,0.474,0.394
S34,0.385,0.400,0.484,0.394,0.413,0.392,0.437,0.391
S35,0.390,0.408,0.505,0.396,0.422,0.398,0.455,0.393
S36,0.418,0.450,0.583,0.403,0.461,0.431,0.533,0.398
S38,0.394,0.416,0.521,0.398,0.429,0.404,0.470,0.394
S39,0.397,0.420,0.531,0.399,0.434,0.407,0.479,0.394
S40,0.394,0.414,0.519,0.397,0.428,0.403,0.468,0.394
S41,0.415,0.446,0.577,0.403,0.458,0.428,0.527,0.398
S43,0.400,0.424,0.540,0.399,0.438,0.411,0.488,0.395
S45,0.404,0.431,0.551,0.400,0.444,0.416,0.499,0.396
S46,0.409,0.437,0.562,0.401,0.450,0.421,0.511,0.397
S49,0.394,0.415,0.520,0.398,0.429,0.403,0.469,0.394
S51,0.388,0.405,0.497,0.395,0.418,0.396,0.449,0.392